カテゴリ,料理名,単位,糖質[g]
野菜,ゆりね,100g（1個）,22.9
野菜,らっきょう（甘酢漬け）,6g（1個）,1.5
野菜,サラダ菜,6g（1枚）,0.1
野菜,サニーレタス,8g（1枚）,0.1
野菜,レタス,10g（1枚）,0.2
野菜,サンチュ,10g（1枚）,0.1
野菜,れんこん,120g（1節）,16.2
野菜,ルッコラ,50g（1束）,0.3
野菜,わけぎ,30g（1本）,1.4
,,,
,,,
果実類,アボカド,120g（1個）,1.1
果実類,いちご,75g（中5個）,5.3
果実類,いちじく,45g（1個）,5.6
果実類,いよかん,150g（1個）,16.1
果実類,温州みかん,80g（1個）,8.8
果実類,オレンジ（ネーブル）,130g（1個）,14.0
果実類,柿,180g（1個）,25.7
果実類,干し柿,55g（1個）,31.5
果実類,キウイフルーツ,85g（1個）,9.4
果実類,グレープフルーツ（白肉種）,210g（1個）,18.9
果実類,グレープフルーツ（紅肉種）,200g（1個）,18.0
果実類,さくらんぼ（国産）,35g（5粒）,4.9
果実類,さくらんぼ（缶詰）,35g（5粒）,5.8
果実類,すいか,150g（1口カット5個）,13.8
果実類,すもも,50g（1個）,3.9
果実類,日本なし,250g（1個）,26.0
果実類,西洋なし,250g（1個）,31.3
果実類,なつみかん,200g（1個）,17.6
果実類,パイナップル,100g（1口カット5個）,11.9
果実類,はっさく,200g（1個）,20.0
果実類,バナナ,100g（1本）,21.4
果実類,びわ,35g（1個）,3.2
果実類,ぶどう,75g（5粒）,11.4
果実類,ブルーベリー,20g（10粒）,1.9
果実類,プルーン（乾）,10g（1個）,5.5
果実類,ぽんかん,100g（1個）,8.9
果実類,マンゴー,200g（1個）,31.2
果実類,桃,170g（1個）,15.1
果実類,ゆず（果汁）,15g（1個）,1.0
果実類,ライチ,15g（1個）,2.3
果実類,ラズベリー,30g（10個）,1.7
果実類,りんご,250g（1個）,35.3
果実類,レモン（果汁）,25g（1個）,6.1
果実類,メロン（赤肉種）,80g（1/8個）,7.9
,,,
,,,
きのこ類,えのきたけ,100g（1袋）,3.7
きのこ類,きくらげ（乾）,5g（10個）,0.7
きのこ類,干ししいたけ（乾）,10g（5個）,2.2
きのこ類,生しいたけ,50g（5個）,0.8
きのこ類,ぶなしめじ,100g（1パック）,1.3
きのこ類,なめこ,100g（1袋）,1.9
きのこ類,エリンギ,100g（1パック）,2.6
きのこ類,まいたけ,100g（1パック）,0.9
きのこ類,マッシュルーム,50g（5個）,0.1
きのこ類,まつたけ,50g（1本）,1.8
,,,
,,,
藻類,焼きのり,3g（1枚）,0.2
藻類,昆布（まこんぶ）,10g（10ｃｍ角1枚）,3.4
藻類,塩昆布,5g,1.2
藻類,寒天,5g,0.0
藻類,もずく,50g（約1食分）,0.0
藻類,わかめ（水戻し）,20g（約1食分）,0.0
藻類,カットわかめ（乾）,3g（大さじ1）,0.2
藻類,ひじき（乾）,5g（大さじ1）,0.3
,,,
,,,
魚介類,魚 全般,100g（一切れ程度）,0.3
魚介類,鮭,100g（一切れ程度）,0.3
魚介類,ぶり,100g（一切れ程度）,0.3
魚介類,たら,100g（一切れ程度）,0.3
魚介類,鯖,100g（一切れ程度）,0.3
魚介類,いわしの味付け（缶）,100g（1缶）,5.7
魚介類,さばの味付け（缶）,150g（1缶）,6.0
魚介類,さんまのかば焼き（缶）,100g（1缶）,9.7
魚介類,ツナ（水煮缶）,70g（1缶）,0.1
魚介類,うなぎ（かば焼）,100g（1串）,3.1
魚介類,いくら,17g（大さじ1）,0.0
魚介類,たらこ,50g（1腹）,0.2
魚介類,数の子,25g（1本）,0.1
魚介類,あさり,40g（10個）,0.2
魚介類,あわび,130g（中1個）,5.2
魚介類,牡蠣,50g（3個）,2.4
魚介類,さざえ,30g（1個）,0.2
魚介類,しじみ,10g（10個）,0.5
魚介類,はまぐり,12g（1個）,0.2
魚介類,ほたてがい,100g（1個）,1.5
魚介類,えび・あまえび,40g（10尾）,0.0
魚介類,えび・ブラックタイガー,40g（1尾）,0.1
魚介類,ずわいがに,15g（足2本）,0.0
魚介類,たらばがに,40g（爪+足1本）,0.1
魚介類,するめいか,210g（1ぱい）,0.2
魚介類,まだこ,150g（足1本）,0.2
魚介類,粒うに,15g（大さじ1）,2.3
魚介類,かに風味かまぼこ,15g（1本）,1.4
魚介類,蒸しかまぼこ,200g（1本）,19.4
魚介類,焼き竹輪,30g（1本）,4.1
魚介類,はんぺん,100g（1枚）,11.4
魚介類,さつま揚げ,80g（1枚）,11.1
魚介類,魚肉ソーセージ,80g（1本）,10.1
,,,
,,,
肉類,牛肉,100g,0.3
肉類,牛 レバー,100g,3.7
肉類,牛 その他臓器,100g,0.2
肉類,ビーフジャーキー,10g（約2枚）,0.6
肉類,豚肉,100g,0.2
肉類,豚 レバー,100g,2.5
肉類,ロースハム,20g（1枚）,0.3
肉類,生ハム,25g（5枚）,0.1
肉類,ベーコン,20g（1枚）,0.1
肉類,ウインナー,15g（1本）,0.5
肉類,フランクフルト,30g（小1本）,1.9
肉類,ゼラチン,3g（小さじ1）,0.0
肉類,鶏肉,100g,0.1
肉類,鶏 レバー,100g,0.6
肉類,マトン-ロース,100g,0.2
肉類,ラム-ロース,100g,0.2
肉類,合鴨,100g,0.1
肉類,馬肉-赤身,100g,0.3
,,,
,,,
卵類,うずら卵　全卵,9g（1個）,0.0
卵類,うずら卵　水煮,9g（1個）,0.1
卵類,鶏卵　全卵,50g（1個）,0.2
卵類,鶏卵　卵黄,15g（1個）,0.0
卵類,鶏卵　卵白,35g（1個）,0.1
,,,
,,,
乳類・乳製品,普通牛乳,200g（コップ約1杯）,9.6
乳類・乳製品,加工乳・濃厚タイプ,200g（コップ約1杯）,10.4
乳類・乳製品,加工乳・低脂肪タイプ,200g（コップ約1杯）,11.0
乳類・乳製品,粉乳類・全粉乳,6g（大さじ1）,2.4
乳類・乳製品,粉乳類・脱脂粉乳,6g（大さじ1）,3.2
乳類・乳製品,練乳類・加糖練乳,20g（大さじ1）,11.2
